created_at,text
2021-12-01 14:36:48,"RT @GMMTV: GMMTV 2022 | Midnight Series : Moonlight Chicken พระจันทร์มันไก่
https://t.co/B747tqVaOy

#MoonlightChicken #GMMTV2022 #GMMTV ht…"
2021-12-01 14:36:48,"RT @_opywpyy_: ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
cr. olivernow 
#GMMTV2022 
#bbrightvc https://t.co/DLazV8Iu9g"
2021-12-01 14:36:48,"RT @OGTNAF: 11. (BL) Pond-Phuwin

Phuwin as young master Nuengdiao (mafia's son)
Pond as Palm, bodyguard taking care of his young master

i…"
2021-12-01 14:36:48,"RT @_opywpyy_: Bright🥺🥺🥺🥺
#GMMTV2022
#bbrightvc https://t.co/1KGXs32Ffw"
2021-12-01 14:36:48,"RT @windrangea: my babies🥺💚 please don't hurt my babies🥺 they're so cute😭😭😭

Win Metawin
#winmetawin @winmetawin 
#GMMTV2022 #DevilSister h…"
2021-12-01 14:36:48,"RT @GMMTV: GMMTV 2022 | คาธ [The ECLIPSE]
https://t.co/okCvmUb6vZ

#TheEclipseSeries #GMMTV2022 #GMMTV https://t.co/4BMu5gLs5x"
2021-12-01 14:36:48,RT @hourly_bright: baby bangs 😭😭 #bbrightvc @bbrightvc #GMMTV2022 https://t.co/wiBgJQhHGQ
2021-12-01 14:36:48,"RT @patchar11841571: คืนนับดาว☀️❤️
Bright Vachirawit
@bbrightvc #bbrightvc 
#GMMTV2022 https://t.co/Ukv96NV2IW"
2021-12-01 14:36:48,"Good luck for all cast 🙏

#GMMTV2022 
#bbrightvc https://t.co/laKLcuGn0z"
2021-12-01 14:36:48,"RT @_opywpyy_: P’Nicky😂😂😂😂😂
#GMMTV2022 https://t.co/HNxKdil18H"
2021-12-01 14:36:48,"RT @_opywpyy_: P’Nicky😂😂😂😂😂
#GMMTV2022 https://t.co/HNxKdil18H"
2021-12-01 14:36:48,"RT @GMMTV: GMMTV 2022 | คาธ [The ECLIPSE]
https://t.co/okCvmUb6vZ

#TheEclipseSeries #GMMTV2022 #GMMTV https://t.co/4BMu5gLs5x"
2021-12-01 14:36:48,"RT @GMMTV: GMMTV 2022 | บทกวีของปีแสง [You are My Favorite]
https://t.co/oXuRhAjcAR

#บทกวีของปีแสง #GMMTV2022 #GMMTV https://t.co/qnAxmQMs…"
2021-12-01 14:36:48,"RT @EZ_IIYH: *Dying* 😭😭😭😭😭

#ppnaravit #phuwintang #PondPhuwin #ปอนด์ภูวินทร์ #GMMTV2022 https://t.co/ssIVIjrga8"
2021-12-01 14:36:48,"RT @salaleyoo__: congrats nong 💚💚

#GMMTV2022 #winmetawin https://t.co/Jx6Ob15XyY"
2021-12-01 14:36:48,"RT @GMMTV: GMMTV 2022 | บทกวีของปีแสง [You are My Favorite]
https://t.co/oXuRhAjcAR

#บทกวีของปีแสง #GMMTV2022 #GMMTV https://t.co/qnAxmQMs…"
2021-12-01 14:36:48,RT @brightwinvid_: Baby !!!! 55555556 #GMMTV2022 #bbrightvc https://t.co/nW8nql8JIL
2021-12-01 14:36:48,"RT @krisinating: Dear antis, 
Thank so fucking much for manifesting a KristMike series.
Love (not really), Yuyus who can't function rn.

#G…"
2021-12-01 14:36:48,RT @2getherBW4ever: My baby is all grown up 😢 #winmetawin #GMMTV2022 https://t.co/Gc3KRsUm4J
2021-12-01 14:36:48,I WAS SICK SICK FOR 3 DAYS NOW IM HEALED THANKYOU #GMMTV2022 FOE GIVING US 2 SERIES FOR EARTHMIX WHAT A DAY TO BE ALIVE
2021-12-01 14:36:48,"RT @_opywpyy_: ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
cr. olivernow 
#GMMTV2022 
#bbrightvc https://t.co/DLazV8Iu9g"
2021-12-01 14:36:48,"RT @AlwaysBeWithOG: [Instagram Update] 211201 arm_wc Update with OFFGUN : 3+1 Superstar ✨

#GMMTV2022 #ออฟกัน https://t.co/OECT4LSP5v"
2021-12-01 14:36:48,RT @hourly_bright: baby bangs 😭😭 #bbrightvc @bbrightvc #GMMTV2022 https://t.co/wiBgJQhHGQ
2021-12-01 14:36:47,"RT @_opywpyy_: nong Win igs😆😆😆
#GMMTV2022 
#winmetawin #mickmetas https://t.co/pfl0hlKpkX"
2021-12-01 14:36:47,"RT @_opywpyy_: Bright🥺🥺🥺🥺
#GMMTV2022
#bbrightvc https://t.co/1KGXs32Ffw"
2021-12-01 14:36:47,RT @Yuyu_KitHsu: I will really watch it.Seem like it's really interesting and the series will really good it...cheering for both of you...@…
2021-12-01 14:36:47,"RT @twinklemetawin: SO EXCITED FOR “ASTROPHILE”!! 😭🤍🔥

#GMMTV2022 #bbrightvc https://t.co/qKUz0DGKxD"
2021-12-01 14:36:47,"RT @AlwaysBeWithOG: [Instagram Update] 211201 arm_wc Update with OFFGUN : 3+1 Superstar ✨

#GMMTV2022 #ออฟกัน https://t.co/OECT4LSP5v"
2021-12-01 14:36:47,"RT @katuiislove: [Trans]
R: Character, character …
W: Good Good krub, it is fun, isn’t it? (Look at P)
P: Good ka, it’s fun. Yes ka 🤣

Win…"
2021-12-01 14:36:47,RT @hourlyNNN: okaaayyyy??!1!1! #GMMTV2022 https://t.co/xLzGSVCyuA
2021-12-01 14:36:47,"RT @winstawan: drunk dr.namcha with his red cheeks is so lovely 😭🤏

DEVIL SISTER
#DevilSister   @winmetawin #winmetawin  #GMMTV2022 https:/…"
2021-12-01 14:36:47,"RT @GMMTV: GMMTV 2022 | Midnight Series : Dirty Laundry ซักอบร้ายนายสะอาด
https://t.co/EWojgAY7ik

#DirtyLaundry #GMMTV2022 #GMMTV https://…"
2021-12-01 14:36:47,RT @frolyndile: TELL ME WE WILL BE SEEING THEM AGAIN TONIGHT AFTER 2 YEARS 😭 #OhmNamon #MyPrecious #GMMTV2022 https://t.co/ZvtxrfNoyJ
2021-12-01 14:36:47,"RT @GMMTV: GMMTV 2022 | บทกวีของปีแสง [You are My Favorite]
https://t.co/oXuRhAjcAR

#บทกวีของปีแสง #GMMTV2022 #GMMTV https://t.co/qnAxmQMs…"
2021-12-01 14:36:47,"RT @WHITEMOMENTS_: congrats on your new steps na ka 🤍💚 @bbrightvc @winmetawin 

#bbrightvc #winmetawin #GMMTV2022 https://t.co/VMvw0Q0PND"
2021-12-01 14:36:47,"RT @atthapansy_: a love triangle with davikah, bright and off OMG I NEVER EXPECTED THIS ONE 😭😭😭😭😭 #GMMTV2022 https://t.co/zf6Sj0Boln"
2021-12-01 14:36:47,"RT @_opywpyy_: ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
cr. olivernow 
#GMMTV2022 
#bbrightvc https://t.co/DLazV8Iu9g"
2021-12-01 14:36:47,"RT @twinklemetawin: brightwin together for the 3rd time ~ 🥺🤍💚

#bbrightvc #winmetawin #ไบร์ทวิน #GMMTV2022 https://t.co/r4jgXY2ZoM"
2021-12-01 14:36:47,RT @tawanchapter: YES SIR #GMMTV2022 https://t.co/S2GWm0uZCJ
2021-12-01 14:36:47,"RT @katuiislove: [Tran]
M: Very happy ka, i was very excited, i cannot act well at the very first.
I: Why, u r shy when u act?
M: Yes, very…"
